name,place_id,lat,lon
Mont Saint Michel,285079900,48.6359541,-1.51146
Saint Malo,285150888,48.649518,-2.0260409
Bayeux,280655053,49.2764624,-0.7024738
Le Havre,99608512,49.4938975,0.1079732
Rouen,99070671,49.4404591,1.0939658
Paris,97644102,48.8588897,2.320041
Amiens,99155202,49.8941708,2.2956951
Lille,102254454,50.6365654,3.0635282
Strasbourg,120975157,48.584614,7.7507127
Chateau du Haut Koenigsbourg,121140610,48.249382,7.3439412
Colmar,120649250,48.0777517,7.3579641
Eguisheim,121333649,48.0447968,7.3079618
Besancon,92178632,47.2380222,6.0243622
Dijon,93669820,47.3215806,5.0414701
Annecy,89628032,45.8992348,6.1288847
Grenoble,90045804,45.1875602,5.7357819
Lyon,90359235,45.7578137,4.8320114
Gorges du Verdon,82363223,43.7496562,6.3285616
Bormes les Mimosas,81493691,43.1506968,6.3419285
Cassis,83452381,43.2140359,5.5396318
Marseille,82966111,43.2963986,5.3777888
Aix en Provence,82779545,43.5298424,5.4474738
Avignon,82636973,43.9492493,4.8059012
Uzes,87817750,44.0121279,4.4196718
Nimes,83003654,43.8374249,4.3600687
Aigues Mortes,82998413,43.5661521,4.19154
Saintes Maries de la Mer,82867790,43.4515922,4.4277202
Collioure,84939196,42.52505,3.0831554
Carcassonne,84898345,43.2130358,2.3491069
Ariege,84579236,42.9455368,1.4065544
Toulouse,85889491,43.6044638,1.4442433
Montauban,85485907,44.0175835,1.3549991
Biarritz,290313639,43.4711437,-1.5527275
Bayonne,291070826,43.4945144,-1.4736657
La Rochelle,290369823,46.159732,-1.1515951
